[2024-06-21 17:25:46] CPU: 0.00%, DB: 83.00(83.00%), Memory: 1632.4MB(20.47%)
[2024-06-21 17:26:45] CPU: 0.63%, DB: 81.00(81.00%), Memory: 1633.9MB(20.49%)
[2024-06-21 17:26:46] CPU: 0.74%, DB: 5.00(5.00%), Memory: 1635.2MB(20.51%)
[2024-06-21 17:26:47] CPU: 0.94%, DB: 25.00(25.00%), Memory: 1635.1MB(20.51%)
[2024-06-21 17:26:48] CPU: 0.69%, DB: 84.00(84.00%), Memory: 1634.9MB(20.50%)
[2024-06-21 17:26:49] CPU: 0.56%, DB: 27.00(27.00%), Memory: 1634.3MB(20.50%)
[2024-06-21 17:26:50] CPU: 0.38%, DB: 36.00(36.00%), Memory: 1634.3MB(20.50%)
[2024-06-21 17:26:51] CPU: 0.86%, DB: 5.00(5.00%), Memory: 1634.3MB(20.50%)
[2024-06-21 17:26:52] CPU: 0.75%, DB: 46.00(46.00%), Memory: 1634.6MB(20.50%)
[2024-06-21 17:26:53] CPU: 0.38%, DB: 29.00(29.00%), Memory: 1636.8MB(20.53%)
[2024-06-21 17:26:54] CPU: 0.44%, DB: 13.00(13.00%), Memory: 1633.2MB(20.48%)
[2024-06-21 17:26:55] CPU: 0.50%, DB: 57.00(57.00%), Memory: 1633.7MB(20.49%)
[2024-06-21 17:26:56] CPU: 0.80%, DB: 24.00(24.00%), Memory: 1634.7MB(20.50%)
[2024-06-21 17:26:57] CPU: 0.63%, DB: 95.00(95.00%), Memory: 1634.2MB(20.50%)
[2024-06-21 17:26:58] CPU: 0.62%, DB: 82.00(82.00%), Memory: 1634.5MB(20.50%)
[2024-06-21 17:26:59] CPU: 0.56%, DB: 45.00(45.00%), Memory: 1633.7MB(20.49%)
[2024-06-21 17:27:00] CPU: 0.56%, DB: 14.00(14.00%), Memory: 1634.0MB(20.49%)
[2024-06-21 17:27:01] CPU: 0.62%, DB: 67.00(67.00%), Memory: 1637.0MB(20.53%)
[2024-06-21 17:27:02] CPU: 0.56%, DB: 34.00(34.00%), Memory: 1637.0MB(20.53%)
[2024-06-21 17:27:03] CPU: 0.44%, DB: 64.00(64.00%), Memory: 1638.2MB(20.55%)
[2024-06-21 17:27:04] CPU: 0.62%, DB: 43.00(43.00%), Memory: 1638.2MB(20.55%)
[2024-06-21 17:27:05] CPU: 0.56%, DB: 50.00(50.00%), Memory: 1639.2MB(20.56%)
[2024-06-21 17:27:06] CPU: 0.86%, DB: 87.00(87.00%), Memory: 1639.0MB(20.56%)
[2024-06-21 17:27:07] CPU: 0.62%, DB: 8.00(8.00%), Memory: 1639.5MB(20.56%)
[2024-06-21 17:27:08] CPU: 0.69%, DB: 76.00(76.00%), Memory: 1639.5MB(20.56%)
[2024-06-21 17:27:09] CPU: 0.44%, DB: 78.00(78.00%), Memory: 1641.0MB(20.58%)
[2024-06-21 17:27:10] CPU: 0.75%, DB: 88.00(88.00%), Memory: 1639.7MB(20.57%)
[2024-06-21 17:27:11] CPU: 0.74%, DB: 84.00(84.00%), Memory: 1638.7MB(20.55%)
[2024-06-21 17:27:12] CPU: 0.56%, DB: 3.00(3.00%), Memory: 1637.5MB(20.54%)
[2024-06-21 17:27:13] CPU: 0.31%, DB: 51.00(51.00%), Memory: 1635.4MB(20.51%)
[2024-06-21 17:27:14] CPU: 0.69%, DB: 54.00(54.00%), Memory: 1633.6MB(20.49%)
[2024-06-21 17:27:15] CPU: 0.62%, DB: 99.00(99.00%), Memory: 1634.8MB(20.50%)
[2024-06-21 17:27:16] CPU: 0.74%, DB: 32.00(32.00%), Memory: 1634.6MB(20.50%)
[2024-06-21 17:27:17] CPU: 0.75%, DB: 60.00(60.00%), Memory: 1634.3MB(20.50%)
[2024-06-21 17:27:18] CPU: 0.38%, DB: 76.00(76.00%), Memory: 1634.1MB(20.49%)
[2024-06-21 17:27:19] CPU: 0.62%, DB: 68.00(68.00%), Memory: 1634.5MB(20.50%)
[2024-06-21 17:27:20] CPU: 0.38%, DB: 39.00(39.00%), Memory: 1634.0MB(20.49%)
[2024-06-21 17:27:21] CPU: 1.10%, DB: 12.00(12.00%), Memory: 1635.0MB(20.51%)
[2024-06-21 17:27:22] CPU: 0.56%, DB: 26.00(26.00%), Memory: 1634.8MB(20.50%)
[2024-06-21 17:27:23] CPU: 0.62%, DB: 86.00(86.00%), Memory: 1635.0MB(20.51%)
[2024-06-21 17:27:24] CPU: 0.62%, DB: 94.00(94.00%), Memory: 1638.0MB(20.54%)
[2024-06-21 17:27:25] CPU: 0.38%, DB: 39.00(39.00%), Memory: 1635.2MB(20.51%)
[2024-06-21 17:27:26] CPU: 0.62%, DB: 95.00(95.00%), Memory: 1637.0MB(20.53%)
[2024-06-21 17:27:27] CPU: 0.94%, DB: 70.00(70.00%), Memory: 1635.9MB(20.52%)
[2024-06-21 17:27:28] CPU: 0.75%, DB: 34.00(34.00%), Memory: 1635.7MB(20.51%)
[2024-06-21 17:27:29] CPU: 0.75%, DB: 78.00(78.00%), Memory: 1635.9MB(20.52%)
[2024-06-21 17:27:30] CPU: 0.50%, DB: 67.00(67.00%), Memory: 1636.7MB(20.53%)
[2024-06-21 17:27:31] CPU: 0.74%, DB: 1.00(1.00%), Memory: 1635.7MB(20.51%)
[2024-06-21 17:27:32] CPU: 0.81%, DB: 97.00(97.00%), Memory: 1636.4MB(20.52%)
[2024-06-21 17:27:33] CPU: 0.38%, DB: 2.00(2.00%), Memory: 1635.6MB(20.51%)
[2024-06-21 17:27:34] CPU: 0.62%, DB: 17.00(17.00%), Memory: 1636.9MB(20.53%)
[2024-06-21 17:27:35] CPU: 0.44%, DB: 92.00(92.00%), Memory: 1636.6MB(20.53%)
[2024-06-21 17:27:36] CPU: 0.86%, DB: 52.00(52.00%), Memory: 1637.1MB(20.53%)
[2024-06-21 17:27:37] CPU: 0.56%, DB: 56.00(56.00%), Memory: 1636.4MB(20.52%)
[2024-06-21 17:27:38] CPU: 0.69%, DB: 1.00(1.00%), Memory: 1637.9MB(20.54%)
[2024-06-21 17:27:39] CPU: 0.38%, DB: 80.00(80.00%), Memory: 1637.6MB(20.54%)
[2024-06-21 17:27:40] CPU: 0.56%, DB: 86.00(86.00%), Memory: 1637.8MB(20.54%)
[2024-06-21 17:27:41] CPU: 0.73%, DB: 41.00(41.00%), Memory: 1637.6MB(20.54%)
[2024-06-21 17:27:42] CPU: 0.75%, DB: 65.00(65.00%), Memory: 1636.8MB(20.53%)
[2024-06-21 17:27:43] CPU: 0.93%, DB: 89.00(89.00%), Memory: 1635.3MB(20.51%)
[2024-06-21 17:27:44] CPU: 0.87%, DB: 44.00(44.00%), Memory: 1634.2MB(20.50%)
[2024-06-21 17:27:45] CPU: 0.94%, DB: 19.00(19.00%), Memory: 1634.5MB(20.50%)
[2024-06-21 17:27:46] CPU: 0.62%, DB: 40.00(40.00%), Memory: 1635.2MB(20.51%)
[2024-06-21 17:27:47] CPU: 0.69%, DB: 29.00(29.00%), Memory: 1634.9MB(20.51%)
[2024-06-21 17:27:48] CPU: 0.50%, DB: 31.00(31.00%), Memory: 1635.2MB(20.51%)
[2024-06-21 17:27:49] CPU: 0.75%, DB: 17.00(17.00%), Memory: 1635.2MB(20.51%)
[2024-06-21 17:27:50] CPU: 0.63%, DB: 97.00(97.00%), Memory: 1636.7MB(20.53%)
[2024-06-21 17:27:51] CPU: 0.98%, DB: 71.00(71.00%), Memory: 1635.2MB(20.51%)
[2024-06-21 17:27:52] CPU: 0.75%, DB: 81.00(81.00%), Memory: 1634.9MB(20.50%)
[2024-06-21 17:27:53] CPU: 0.56%, DB: 75.00(75.00%), Memory: 1635.1MB(20.51%)
[2024-06-21 17:27:54] CPU: 0.50%, DB: 9.00(9.00%), Memory: 1636.7MB(20.53%)
[2024-06-21 17:27:55] CPU: 0.75%, DB: 27.00(27.00%), Memory: 1634.6MB(20.50%)
[2024-06-21 17:27:56] CPU: 0.74%, DB: 67.00(67.00%), Memory: 1634.1MB(20.49%)
[2024-06-21 17:27:57] CPU: 0.56%, DB: 56.00(56.00%), Memory: 1632.6MB(20.48%)
[2024-06-21 17:27:58] CPU: 0.44%, DB: 97.00(97.00%), Memory: 1634.4MB(20.50%)
[2024-06-21 17:27:59] CPU: 0.62%, DB: 53.00(53.00%), Memory: 1635.6MB(20.51%)
[2024-06-21 17:28:00] CPU: 0.63%, DB: 86.00(86.00%), Memory: 1635.9MB(20.52%)
[2024-06-21 17:28:01] CPU: 0.92%, DB: 65.00(65.00%), Memory: 1635.6MB(20.51%)
[2024-06-21 17:28:02] CPU: 0.44%, DB: 6.00(6.00%), Memory: 1636.1MB(20.52%)
[2024-06-21 17:28:03] CPU: 0.81%, DB: 83.00(83.00%), Memory: 1635.8MB(20.52%)
[2024-06-21 17:28:04] CPU: 1.18%, DB: 19.00(19.00%), Memory: 1633.2MB(20.48%)
[2024-06-21 17:28:05] CPU: 0.56%, DB: 24.00(24.00%), Memory: 1632.4MB(20.47%)
[2024-06-21 17:28:06] CPU: 0.56%, DB: 28.00(28.00%), Memory: 1630.9MB(20.45%)
[2024-06-21 17:28:07] CPU: 0.44%, DB: 71.00(71.00%), Memory: 1631.1MB(20.46%)
[2024-06-21 17:28:08] CPU: 0.31%, DB: 32.00(32.00%), Memory: 1631.6MB(20.46%)
[2024-06-21 17:28:09] CPU: 0.50%, DB: 29.00(29.00%), Memory: 1631.7MB(20.46%)
[2024-06-21 17:28:10] CPU: 0.69%, DB: 3.00(3.00%), Memory: 1632.9MB(20.48%)
[2024-06-21 17:28:11] CPU: 0.80%, DB: 19.00(19.00%), Memory: 1633.0MB(20.48%)
[2024-06-21 17:28:12] CPU: 0.38%, DB: 70.00(70.00%), Memory: 1632.9MB(20.48%)
[2024-06-21 17:28:13] CPU: 0.81%, DB: 68.00(68.00%), Memory: 1633.2MB(20.48%)
[2024-06-21 17:28:14] CPU: 0.62%, DB: 8.00(8.00%), Memory: 1630.9MB(20.46%)
[2024-06-21 17:28:15] CPU: 0.81%, DB: 15.00(15.00%), Memory: 1627.0MB(20.41%)
[2024-06-21 17:28:16] CPU: 0.43%, DB: 40.00(40.00%), Memory: 1627.5MB(20.41%)
[2024-06-21 17:28:17] CPU: 0.56%, DB: 49.00(49.00%), Memory: 1628.0MB(20.42%)
[2024-06-21 17:28:18] CPU: 0.94%, DB: 96.00(96.00%), Memory: 1628.8MB(20.43%)
[2024-06-21 17:28:19] CPU: 0.25%, DB: 23.00(23.00%), Memory: 1628.5MB(20.42%)
[2024-06-21 17:28:20] CPU: 1.06%, DB: 18.00(18.00%), Memory: 1630.2MB(20.45%)
[2024-06-21 17:28:21] CPU: 1.05%, DB: 45.00(45.00%), Memory: 1630.0MB(20.44%)
[2024-06-21 17:28:22] CPU: 0.56%, DB: 46.00(46.00%), Memory: 1629.5MB(20.44%)
[2024-06-21 17:28:23] CPU: 0.44%, DB: 51.00(51.00%), Memory: 1629.8MB(20.44%)
[2024-06-21 17:28:24] CPU: 0.75%, DB: 21.00(21.00%), Memory: 1629.5MB(20.44%)
[2024-06-21 17:28:25] CPU: 0.50%, DB: 55.00(55.00%), Memory: 1629.6MB(20.44%)
[2024-06-21 17:28:26] CPU: 0.74%, DB: 79.00(79.00%), Memory: 1626.1MB(20.39%)
[2024-06-21 17:28:27] CPU: 0.38%, DB: 88.00(88.00%), Memory: 1627.3MB(20.41%)
[2024-06-21 17:28:28] CPU: 0.69%, DB: 64.00(64.00%), Memory: 1627.3MB(20.41%)
[2024-06-21 17:28:29] CPU: 0.75%, DB: 28.00(28.00%), Memory: 1625.8MB(20.39%)
[2024-06-21 17:28:30] CPU: 0.69%, DB: 41.00(41.00%), Memory: 1628.8MB(20.43%)
[2024-06-21 17:28:31] CPU: 0.86%, DB: 50.00(50.00%), Memory: 1628.3MB(20.42%)
[2024-06-21 17:28:32] CPU: 0.56%, DB: 93.00(93.00%), Memory: 1630.0MB(20.44%)
[2024-06-21 17:28:33] CPU: 0.56%, DB: 0.00(0.00%), Memory: 1630.0MB(20.44%)
[2024-06-21 17:28:34] CPU: 1.43%, DB: 34.00(34.00%), Memory: 1633.5MB(20.49%)
[2024-06-21 17:28:35] CPU: 0.56%, DB: 64.00(64.00%), Memory: 1630.7MB(20.45%)
[2024-06-21 17:28:36] CPU: 0.74%, DB: 24.00(24.00%), Memory: 1629.7MB(20.44%)
[2024-06-21 17:28:37] CPU: 0.75%, DB: 14.00(14.00%), Memory: 1627.9MB(20.42%)
[2024-06-21 17:28:38] CPU: 0.56%, DB: 87.00(87.00%), Memory: 1627.7MB(20.41%)
[2024-06-21 17:28:39] CPU: 0.38%, DB: 56.00(56.00%), Memory: 1628.2MB(20.42%)
[2024-06-21 17:28:40] CPU: 0.75%, DB: 43.00(43.00%), Memory: 1630.5MB(20.45%)
[2024-06-21 17:28:41] CPU: 0.43%, DB: 91.00(91.00%), Memory: 1631.2MB(20.46%)
[2024-06-21 17:28:42] CPU: 0.69%, DB: 27.00(27.00%), Memory: 1629.7MB(20.44%)
[2024-06-21 17:28:43] CPU: 0.81%, DB: 65.00(65.00%), Memory: 1630.7MB(20.45%)
[2024-06-21 17:28:44] CPU: 0.93%, DB: 59.00(59.00%), Memory: 1630.9MB(20.45%)
[2024-06-21 17:28:45] CPU: 0.69%, DB: 36.00(36.00%), Memory: 1630.4MB(20.45%)
[2024-06-21 17:28:47] CPU: 0.80%, DB: 32.00(32.00%), Memory: 1628.1MB(20.42%)
[2024-06-21 17:28:48] CPU: 0.81%, DB: 51.00(51.00%), Memory: 1628.3MB(20.42%)
[2024-06-21 17:28:49] CPU: 0.81%, DB: 37.00(37.00%), Memory: 1628.8MB(20.43%)
[2024-06-21 17:28:50] CPU: 0.50%, DB: 28.00(28.00%), Memory: 1627.8MB(20.42%)
[2024-06-21 17:28:51] CPU: 1.96%, DB: 75.00(75.00%), Memory: 1620.8MB(20.33%)
[2024-06-21 17:28:52] CPU: 1.56%, DB: 7.00(7.00%), Memory: 1621.7MB(20.34%)
[2024-06-21 17:28:53] CPU: 0.56%, DB: 74.00(74.00%), Memory: 1621.5MB(20.34%)
[2024-06-21 17:28:54] CPU: 0.50%, DB: 21.00(21.00%), Memory: 1621.7MB(20.34%)
[2024-06-21 17:28:55] CPU: 0.50%, DB: 58.00(58.00%), Memory: 1620.2MB(20.32%)
[2024-06-21 17:28:56] CPU: 0.74%, DB: 95.00(95.00%), Memory: 1623.0MB(20.36%)
[2024-06-21 17:28:57] CPU: 0.69%, DB: 29.00(29.00%), Memory: 1621.7MB(20.34%)
[2024-06-21 17:28:58] CPU: 0.62%, DB: 37.00(37.00%), Memory: 1620.6MB(20.33%)
[2024-06-21 17:28:59] CPU: 0.62%, DB: 35.00(35.00%), Memory: 1620.4MB(20.32%)
[2024-06-21 17:29:00] CPU: 0.69%, DB: 93.00(93.00%), Memory: 1621.1MB(20.33%)
[2024-06-21 17:29:01] CPU: 0.67%, DB: 18.00(18.00%), Memory: 1620.3MB(20.32%)
[2024-06-21 17:29:02] CPU: 0.69%, DB: 28.00(28.00%), Memory: 1619.3MB(20.31%)
[2024-06-21 17:29:03] CPU: 0.94%, DB: 43.00(43.00%), Memory: 1620.6MB(20.33%)
[2024-06-21 17:29:04] CPU: 0.75%, DB: 11.00(11.00%), Memory: 1620.8MB(20.33%)
[2024-06-21 17:29:05] CPU: 0.50%, DB: 28.00(28.00%), Memory: 1619.8MB(20.32%)
[2024-06-21 17:29:06] CPU: 0.73%, DB: 29.00(29.00%), Memory: 1622.0MB(20.34%)
[2024-06-21 17:29:07] CPU: 0.88%, DB: 76.00(76.00%), Memory: 1623.8MB(20.37%)
[2024-06-21 17:29:08] CPU: 0.56%, DB: 4.00(4.00%), Memory: 1621.0MB(20.33%)
[2024-06-21 17:29:09] CPU: 0.87%, DB: 43.00(43.00%), Memory: 1621.3MB(20.33%)
[2024-06-21 17:29:10] CPU: 0.62%, DB: 63.00(63.00%), Memory: 1621.2MB(20.33%)
[2024-06-21 17:29:11] CPU: 0.74%, DB: 13.00(13.00%), Memory: 1622.7MB(20.35%)
[2024-06-21 17:29:12] CPU: 0.56%, DB: 38.00(38.00%), Memory: 1622.2MB(20.35%)
[2024-06-21 17:29:13] CPU: 0.56%, DB: 6.00(6.00%), Memory: 1622.7MB(20.35%)
[2024-06-21 17:29:14] CPU: 0.38%, DB: 40.00(40.00%), Memory: 1623.0MB(20.36%)
[2024-06-21 17:29:15] CPU: 0.75%, DB: 4.00(4.00%), Memory: 1624.2MB(20.37%)
[2024-06-21 17:29:16] CPU: 0.80%, DB: 18.00(18.00%), Memory: 1623.5MB(20.36%)
[2024-06-21 17:29:17] CPU: 0.87%, DB: 28.00(28.00%), Memory: 1622.9MB(20.36%)
[2024-06-21 17:29:18] CPU: 0.56%, DB: 88.00(88.00%), Memory: 1622.9MB(20.35%)
[2024-06-21 17:29:19] CPU: 0.63%, DB: 69.00(69.00%), Memory: 1622.9MB(20.35%)
[2024-06-21 17:29:20] CPU: 0.56%, DB: 17.00(17.00%), Memory: 1623.9MB(20.37%)
[2024-06-21 17:29:21] CPU: 0.68%, DB: 17.00(17.00%), Memory: 1625.1MB(20.38%)
[2024-06-21 17:29:22] CPU: 0.88%, DB: 96.00(96.00%), Memory: 1624.2MB(20.37%)
[2024-06-21 17:29:23] CPU: 0.25%, DB: 24.00(24.00%), Memory: 1624.2MB(20.37%)
[2024-06-21 17:29:24] CPU: 1.18%, DB: 43.00(43.00%), Memory: 1624.1MB(20.37%)
[2024-06-21 17:29:25] CPU: 0.50%, DB: 70.00(70.00%), Memory: 1624.1MB(20.37%)
[2024-06-21 17:29:26] CPU: 0.93%, DB: 83.00(83.00%), Memory: 1625.3MB(20.39%)
[2024-06-21 17:29:27] CPU: 0.81%, DB: 90.00(90.00%), Memory: 1626.1MB(20.39%)
[2024-06-21 17:29:28] CPU: 0.87%, DB: 99.00(99.00%), Memory: 1628.1MB(20.42%)
[2024-06-21 17:29:29] CPU: 0.62%, DB: 72.00(72.00%), Memory: 1627.3MB(20.41%)
[2024-06-21 17:29:30] CPU: 0.44%, DB: 25.00(25.00%), Memory: 1627.5MB(20.41%)
[2024-06-21 17:29:31] CPU: 0.86%, DB: 44.00(44.00%), Memory: 1627.5MB(20.41%)
[2024-06-21 17:29:32] CPU: 0.75%, DB: 90.00(90.00%), Memory: 1628.0MB(20.42%)
[2024-06-21 17:29:33] CPU: 0.31%, DB: 5.00(5.00%), Memory: 1629.2MB(20.43%)
[2024-06-21 17:29:34] CPU: 0.56%, DB: 39.00(39.00%), Memory: 1629.7MB(20.44%)
[2024-06-21 17:29:35] CPU: 0.81%, DB: 54.00(54.00%), Memory: 1626.9MB(20.40%)
[2024-06-21 17:29:36] CPU: 0.74%, DB: 86.00(86.00%), Memory: 1627.2MB(20.41%)
[2024-06-21 17:29:37] CPU: 0.69%, DB: 69.00(69.00%), Memory: 1628.4MB(20.42%)
[2024-06-21 17:29:38] CPU: 0.38%, DB: 82.00(82.00%), Memory: 1627.4MB(20.41%)
[2024-06-21 17:29:39] CPU: 0.69%, DB: 42.00(42.00%), Memory: 1627.4MB(20.41%)
[2024-06-21 17:29:40] CPU: 0.69%, DB: 64.00(64.00%), Memory: 1626.9MB(20.40%)
[2024-06-21 17:29:41] CPU: 0.67%, DB: 97.00(97.00%), Memory: 1627.9MB(20.42%)
[2024-06-21 17:29:42] CPU: 0.69%, DB: 7.00(7.00%), Memory: 1628.9MB(20.43%)
[2024-06-21 17:29:43] CPU: 0.56%, DB: 55.00(55.00%), Memory: 1629.4MB(20.44%)
[2024-06-21 17:29:44] CPU: 0.38%, DB: 4.00(4.00%), Memory: 1627.9MB(20.42%)
[2024-06-21 17:29:45] CPU: 0.87%, DB: 48.00(48.00%), Memory: 1629.4MB(20.44%)
[2024-06-21 17:29:46] CPU: 0.80%, DB: 11.00(11.00%), Memory: 1627.0MB(20.41%)
[2024-06-21 17:29:47] CPU: 0.69%, DB: 22.00(22.00%), Memory: 1627.0MB(20.41%)
[2024-06-21 17:29:48] CPU: 0.44%, DB: 28.00(28.00%), Memory: 1626.0MB(20.39%)
[2024-06-21 17:29:49] CPU: 0.69%, DB: 99.00(99.00%), Memory: 1624.4MB(20.37%)
[2024-06-21 17:29:50] CPU: 0.75%, DB: 43.00(43.00%), Memory: 1624.2MB(20.37%)
[2024-06-21 17:29:51] CPU: 0.86%, DB: 46.00(46.00%), Memory: 1624.9MB(20.38%)
[2024-06-21 17:29:52] CPU: 0.75%, DB: 68.00(68.00%), Memory: 1624.6MB(20.38%)
[2024-06-21 17:29:53] CPU: 0.75%, DB: 40.00(40.00%), Memory: 1624.1MB(20.37%)
[2024-06-21 17:29:54] CPU: 0.62%, DB: 22.00(22.00%), Memory: 1625.1MB(20.38%)
[2024-06-21 17:29:55] CPU: 0.62%, DB: 11.00(11.00%), Memory: 1626.8MB(20.40%)
[2024-06-21 17:29:56] CPU: 0.99%, DB: 10.00(10.00%), Memory: 1624.3MB(20.37%)
[2024-06-21 17:29:57] CPU: 1.12%, DB: 5.00(5.00%), Memory: 1626.3MB(20.40%)
[2024-06-21 17:29:58] CPU: 0.50%, DB: 1.00(1.00%), Memory: 1623.6MB(20.36%)
[2024-06-21 17:29:59] CPU: 1.12%, DB: 61.00(61.00%), Memory: 1629.3MB(20.43%)
